,ARIMA_Tahmin,Prophet_Tahmin,Prophet_AltBand,Prophet_UstBand,GARCH_Volatilite,EGARCH_Volatilite,Sinyal
2025-10-27,204.272049136747,162.2379433254189,148.4557538422695,176.2433561370609,2.243803652463882,2.66912384682319,SAT
2025-10-28,204.64478326070997,162.16836294429967,148.5925289141159,175.61856305320404,2.269106627959615,2.941883599071991,SAT
2025-10-29,205.0181975106508,162.1507782323034,148.74553353395424,175.7491343423131,2.2919561770604817,3.2076369573028782,SAT
2025-10-30,205.39229312759173,162.32216119569162,149.4735809909622,176.97451862546194,2.3126133101663013,3.4639370702920464,SAT
2025-10-31,205.76707135481954,162.33524681543895,148.38390300110336,176.333255533725,2.331306771941678,3.708889579383352,SAT
2025-11-03,206.14253343788954,162.5066549971991,149.08579123345726,176.15804606935714,2.348237914447443,3.9411178380792258,SAT
2025-11-04,206.51868062462992,162.5923570650536,148.29795794562193,175.82186722459795,2.3635846612372267,4.159711157405405,SAT
2025-11-05,206.89551416514567,162.72938911760565,149.90418179979036,176.38120300066024,2.37750476592804,4.364163844814665,SAT
2025-11-06,207.27303531182292,163.05231586244142,149.52696674736325,175.66936686390028,2.3901385161768474,4.554311087236058,SAT
2025-11-07,207.65124531933293,163.21163133712932,149.99642005478375,176.1600004956473,2.4016109966201205,4.730266073600941,SAT
2025-11-10,208.03014544463647,163.77075630014326,150.57866123636492,177.31288046525304,2.412033997342106,4.892361301819541,SAT
2025-11-11,208.40973694698778,163.96366433809828,150.76821859782592,177.62923108142445,2.4215076346616216,5.041095831502511,SAT
2025-11-12,208.79002108793887,164.19509875324397,149.89490634175093,177.79052400365495,2.4301217363445633,5.177089334607007,SAT
2025-11-13,209.17099913134373,164.59901487253873,150.77834300682284,178.00348358036536,2.437957032314108,5.301043137969035,SAT
2025-11-14,209.55267234336253,164.82560653019533,150.99205804755383,178.548625050716,2.445086183542541,5.413708005455288,SAT
2025-11-17,209.9350419924657,165.5056670716443,152.51504707575563,179.41688580528836,2.4515746753654217,5.515858129905412,SAT
2025-11-18,210.3181093494383,165.71370309145877,152.13564537725313,179.17879715139873,2.457481596460949,5.608270654861147,SAT
2025-11-19,210.70187568738416,165.94912478458076,153.21963489289766,179.0176595784763,2.462860320825082,5.691709987367709,SAT
2025-11-20,211.0863422817302,166.34702365467663,153.18180179063413,180.0330126809776,2.4677591069841682,5.7669161665424244,SAT
2025-11-21,211.47151041023054,166.55885356001343,152.51357402208293,179.82913863135533,2.4722216262285146,5.834596595348244,SAT
2025-11-24,211.8573813529708,167.1557787076126,152.941297844476,180.7023525246497,2.4762874296789428,5.89542050816102,SAT
2025-11-25,212.24395639237244,167.32775507101272,154.62203491494034,180.87748370005735,2.479992362406155,5.95001562224859,SAT
2025-11-26,212.63123681319684,167.52514680109013,154.02735728126927,180.75232042695612,2.4833689315280467,5.998966499035888,SAT
2025-11-27,213.0192239025498,167.88424034209476,155.07864418515103,181.86881514590945,2.48644663415055,6.042814215810467,SAT
2025-11-28,213.4079189498856,168.05756159315132,154.68171608528823,182.36384318724555,2.4892522501452636,6.0820570172801105,SAT
2025-12-01,213.79732324701143,168.54922485515374,154.65508441626432,182.1568370973676,2.4918101040346734,6.117151677598171,SAT
2025-12-02,214.1874380880916,168.6915395448058,153.44262017563116,182.55247207854154,2.494142299654219,6.148515356616703,SAT
2025-12-03,214.5782647696519,168.86256038845931,154.74110790730523,181.84230701408626,2.496268930756945,6.176527779360751,SAT
2025-12-04,214.96980459058386,169.19867440279546,156.0388577941837,183.13499219217758,2.4982082703028192,6.201533605578456,SAT
2025-12-05,215.36205885214915,169.35235905968474,156.220438230851,183.1067968975762,2.4999769408167616,6.223844887454635,SAT
