Hisse,Önceki Kapanış,Son Fiyat,Değişim (%)
DMRGD,25.2,27.72,10
BRMEN,20.2,22.22,10
MMCAS,68,74.8,10
LYDYE,13620,14980,9.99
SKYLP,145.2,159.7,9.99
DOGUB,40.66,44.72,9.99
INVES,251,276,9.96
INTEK,324,356.25,9.95
HLGYO,3.63,3.99,9.92
HEKTS,3.33,3.66,9.91
SEYKM,5.76,6.33,9.9
BEGYO,5.06,5.56,9.88
SAFKR,20.9,22.86,9.38
UFUK,1213,1324,9.15
ORCAY,9.14,9.96,8.97
LRSHO,5.64,6.12,8.51
GZNMI,250.25,270,7.89
CEMZY,41,44.2,7.8
ALKLC,87.9,94.45,7.45
IHAAS,31.54,33.74,6.98
GRNYO,15,16,6.67
KUYAS,48.24,51.45,6.65
SEGYO,4.6,4.9,6.52
BAGFS,31.02,33.04,6.51
BIGCH,59.1,62.9,6.43
BORLS,26.3,27.9,6.08
RAYSG,239.5,254,6.05
TATEN,80,84.8,6
AHGAZ,24.92,26.4,5.94
TOASO,260.5,275.25,5.66
KGYO,5.07,5.32,4.93
EKIZ,83.95,88,4.82
AVOD,3.99,4.18,4.76
SANFM,7.02,7.35,4.7
KOZAL,23.76,24.86,4.63
KAREL,9.63,10.07,4.57
HKTM,11.67,12.2,4.54
IPEKE,67,70,4.48
GUBRF,283.25,295.75,4.41
DENGE,2.74,2.86,4.38
CRDFA,33.5,34.92,4.24
KOZAA,83.25,86.75,4.2
VERTU,35.78,37.28,4.19
