Tarih,Tahmin_Fiyat,Alt_Band,Ust_Band,Tahmin_Volatilite,Sinyal
2025-10-27,166.16467785707277,152.9616002607843,179.26233915043693,2.271583183403019,SAT
2025-10-28,166.13031103454352,152.41787334056738,181.1862118386741,2.2991114731387903,SAT
2025-10-29,166.15135371648407,152.8858066683109,178.8271312995082,2.3241917035455746,TUT
2025-10-30,166.36947683942975,151.95140619882002,179.6198311761907,2.3470672987689745,TUT
2025-10-31,166.4210075610788,151.67803321226768,180.33655328753827,2.3679528170392303,TUT
2025-11-03,166.71666021906796,153.3515253465987,179.15541570804544,2.3870382298743573,TUT
2025-11-04,166.83974029453879,152.1672636320145,179.5595369452944,2.404492409779736,TUT
2025-11-05,167.01621631397614,153.46839684440204,180.98542929765713,2.4204660021998197,TUT
2025-11-06,167.38540423671995,154.45221143640777,181.23749034802916,2.4350938125226094,TUT
2025-11-07,167.58147311638365,154.59812973509506,180.59962689861962,2.4484968068389357,TUT
2025-11-10,168.253727715965,154.48477279663385,182.723138795692,2.4607838018868033,TUT
2025-11-11,168.4788201104616,154.80354014916358,181.56452767069285,2.4720529025012956,TUT
2025-11-12,168.74406406755264,154.51960577488342,182.35841617969368,2.4823927321484676,TUT
2025-11-13,169.18836276185257,155.5728896698298,181.64881394759067,2.4918834925192592,TUT
2025-11-14,169.445783763842,155.41163555342652,182.8010807843552,2.500597880843283,TUT
2025-11-17,170.2228320427576,157.193042709337,184.66646252894668,2.5086018879510217,TUT
2025-11-18,170.45878417964627,157.17302254326643,183.50261051394529,2.515955495737227,TUT
2025-11-19,170.72453809400943,158.00485991195453,183.55021035545465,2.5227132892479136,TUT
2025-11-20,171.160235328168,156.94149613412614,184.04671615510753,2.528924995901704,TUT
2025-11-21,171.40127531712517,157.96364695293357,184.38415169600333,2.5346359621960355,TUT
2025-11-24,172.09634344629308,157.67617527493073,186.71969098997573,2.5398875765151034,TUT
2025-11-25,172.298530124685,157.7098956462346,186.1406927701248,2.5447176452555493,TUT
2025-11-26,172.52937251936115,159.00703960726852,185.92033993047946,2.549160728346421,TUT
2025-11-27,172.93008321946743,159.86131610146748,186.3368136578765,2.553248439307434,TUT
2025-11-28,173.1369835962392,160.01576467560287,185.56924106659264,2.55700971422186,TUT
2025-12-01,173.74139461888305,158.94047540205875,186.974003738863,2.560471053364855,TUT
2025-12-02,173.91862041791643,160.99239707070262,188.03395660777042,2.563656738699132,TUT
2025-12-03,174.12736256454446,161.11439022589815,187.55172781762963,2.5665890300074916,TUT
2025-12-04,174.5087308513969,161.33180480330572,188.70648146508498,2.5692883420598407,TUT
2025-12-05,174.69880605128654,161.50592788438607,188.25969075438596,2.571773404898353,TUT
