Tarih,Tahmin_Prophet,Prophet_Alt,Prophet_Ust,Tahmin_ARIMA,Tahmin_Volatilite,Tahmin_Ortalama,Sinyal
2025-10-27,166.16467785707277,153.01094129693607,179.34519969511194,204.92465973135074,2.271583183403019,185.54466879421176,SAT
2025-10-28,166.13031103454352,153.0060299656219,180.4085693608859,206.32249291004558,2.2991114731387903,186.22640197229455,SAT
2025-10-29,166.15135371648407,153.09197134732335,179.57160883740454,206.599917960083,2.3241917035455746,186.37563583828353,SAT
2025-10-30,166.36947683942975,152.52898111417502,180.36275910972026,206.34705085065985,2.3470672987689745,186.3582638450448,SAT
2025-10-31,166.4210075610788,152.30135494322502,179.90292229293613,206.17482760487772,2.3679528170392303,186.29791758297824,SAT
2025-11-03,166.71666021906796,154.15666187370422,180.28409040283609,206.42901211397967,2.3870382298743573,186.5728361665238,SAT
2025-11-04,166.83974029453879,154.17005835543662,181.6188074091907,206.86263813484226,2.404492409779736,186.85118921469052,SAT
2025-11-05,167.01621631397614,154.1021859734962,180.33908481902643,207.07987544089391,2.4204660021998197,187.04804587743502,SAT
2025-11-06,167.38540423671995,154.11307495464348,181.29856144343066,207.1498526548685,2.4350938125226094,187.26762844579423,SAT
2025-11-07,167.58147311638365,153.39088205036688,182.1359860658998,207.25859549178165,2.4484968068389357,187.42003430408266,SAT
2025-11-10,168.253727715965,155.23241593915273,181.07344197426372,207.45780585579251,2.4607838018868033,187.85576678587876,SAT
2025-11-11,168.4788201104616,154.16772566233354,181.49632114895286,207.681770321363,2.4720529025012956,188.08029521591232,SAT
2025-11-12,168.74406406755264,155.63627608257647,181.7991562089875,207.86762604246772,2.4823927321484676,188.3058450550102,SAT
2025-11-13,169.18836276185257,156.14806433586725,183.45466188228957,208.0219982466557,2.4918834925192592,188.60518050425412,SAT
2025-11-14,169.445783763842,157.12948004731518,182.31660839924052,208.1843977310872,2.500597880843283,188.81509074746458,SAT
2025-11-17,170.2228320427576,157.58284240984588,183.80813954743874,208.36608535015327,2.5086018879510217,189.29445869645542,SAT
2025-11-18,170.45878417964627,157.3101395652352,183.5996751311969,208.55224155649498,2.515955495737227,189.50551286807064,SAT
2025-11-19,170.72453809400943,157.9928001898577,184.0860380203819,208.73026193162866,2.5227132892479136,189.72740001281903,SAT
2025-11-20,171.160235328168,158.047923035032,184.91542288797436,208.90223549767208,2.528924995901704,190.03123541292004,SAT
2025-11-21,171.40127531712517,157.8079297864898,186.01029772842097,209.0758337807678,2.5346359621960355,190.23855454894647,SAT
2025-11-24,172.09634344629308,158.28679104408096,186.20916854059502,209.25340441748364,2.5398875765151034,190.67487393188836,SAT
2025-11-25,172.298530124685,158.79561394488672,186.27069921895608,209.43182764855243,2.5447176452555493,190.8651788866187,SAT
2025-11-26,172.52937251936115,158.86635599340224,186.0540270491365,209.60854526620054,2.549160728346421,191.06895889278084,SAT
2025-11-27,172.93008321946743,158.9819932764039,185.97676582575863,209.78405295026025,2.553248439307434,191.35706808486384,SAT
2025-11-28,173.1369835962392,159.86402746003787,186.49155021896604,209.95992706015616,2.55700971422186,191.5484553281977,SAT
2025-12-01,173.74139461888305,159.68377831921552,186.97516551817262,210.1366045974169,2.560471053364855,191.93899960814997,SAT
2025-12-02,173.91862041791643,160.28244648424376,188.2099054973323,210.31344462647672,2.563656738699132,192.11603252219658,SAT
2025-12-03,174.12736256454446,159.60816633132686,188.37608819725054,210.48992951763216,2.5665890300074916,192.3086460410883,SAT
2025-12-04,174.5087308513969,161.29397690953434,187.5275323282953,210.66617237441733,2.5692883420598407,192.5874516129071,SAT
2025-12-05,174.69880605128654,161.32010069371955,188.04786065736693,210.84249572207204,2.571773404898353,192.77065088667928,SAT
